Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
615;-0.16928911,-0.1377523,1.5728855;-0.17736734,-0.07981112,1.6259829;-0.17811622,0.2778061,1.7002094;-0.17378181,0.4732777,1.688293;-0.35002056,0.15696135,1.6482855;-0.43582144,-0.053370133,1.6641831;-0.5639905,-0.1705558,1.6930863;-0.60373133,-0.19653897,1.7153912;0.0067274086,0.14834367,1.7149882;0.13834292,0.013055094,1.6998014;0.19423477,0.1815477,1.7020189;0.2128654,0.2377119,1.7060269;-0.24791563,-0.213104,1.5339526;-0.2945394,-0.5417988,1.5289558;-0.3328368,-0.81179345,1.5136566;-0.32705614,-0.84657913,1.4419515;-0.087379046,-0.21698196,1.5608081;-0.06321167,-0.5370104,1.4973752;-0.04246322,-0.81176484,1.4320853;-0.025877781,-0.83090466,1.3562983;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
631;-0.16936809,-0.13830133,1.572906;-0.17746665,-0.08023818,1.6260382;-0.17815605,0.2777496,1.700345;-0.17386311,0.47285038,1.6883687;-0.35002232,0.15695116,1.6484041;-0.43583375,-0.053342585,1.6642654;-0.5478347,-0.18421964,1.6951988;-0.5948098,-0.19620942,1.7128311;0.0059937686,0.146456,1.7145836;0.13837533,0.0128751295,1.6998253;0.1421071,0.19636512,1.6974607;0.13997468,0.25849092,1.6996546;-0.24791242,-0.21321397,1.5341272;-0.29453474,-0.54182893,1.5291067;-0.33272547,-0.8110144,1.5137482;-0.3268826,-0.8458984,1.4418643;-0.087582864,-0.21782438,1.560624;-0.06324927,-0.53712636,1.4975654;-0.042318054,-0.81177986,1.432482;-0.025609005,-0.8310105,1.3565259;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
662;-0.16938299,-0.13839597,1.5729063;-0.17748606,-0.080310896,1.6260443;-0.17816271,0.27774057,1.7003653;-0.17389615,0.47276267,1.688364;-0.35002324,0.15694936,1.6484216;-0.43583596,-0.05333838,1.6642779;-0.5417097,-0.18921852,1.695707;-0.59094965,-0.19392501,1.7104703;0.005257173,0.14542925,1.7143465;0.13838448,0.012839844,1.699829;0.13314521,0.19876431,1.6931146;0.12360514,0.25745216,1.6886417;-0.24791193,-0.21323058,1.5341535;-0.29453406,-0.5418335,1.5291294;-0.33270714,-0.8108791,1.5137619;-0.32685137,-0.84577763,1.4418527;-0.087628104,-0.21798159,1.5605916;-0.063255586,-0.5371446,1.4975944;-0.042295203,-0.8117809,1.4325424;-0.025564611,-0.8310242,1.3565627;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
709;-0.16946693,-0.13863698,1.5748291;-0.17763515,-0.08054987,1.6279646;-0.17825387,0.277685,1.7017562;-0.17428741,0.47245902,1.6914479;-0.35011163,0.1569325,1.6497797;-0.4358862,-0.05330732,1.6648089;-0.53466076,-0.19467402,1.6968731;-0.586128,-0.19112192,1.7082882;0.0037207277,0.1438005,1.7157946;0.13880964,0.0123548275,1.7007166;0.20158513,0.17044762,1.6755437;0.15127103,0.24574023,1.6654743;-0.24791001,-0.21324915,1.5361168;-0.2945606,-0.54184705,1.530499;-0.33282644,-0.8115214,1.5142518;-0.32691276,-0.8465444,1.4421189;-0.08785628,-0.21835974,1.5625888;-0.063391656,-0.5371507,1.4990052;-0.042259414,-0.81264925,1.432908;-0.02542441,-0.83195955,1.3566892;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
740;-0.1696038,-0.13885657,1.5761693;-0.17785415,-0.08079827,1.6294583;-0.17842105,0.27763304,1.7027271;-0.1748108,0.47221637,1.6933727;-0.35032195,0.15692878,1.6508436;-0.43596798,-0.053291637,1.665259;-0.5289191,-0.19916612,1.6978074;-0.5627965,-0.22391222,1.7100444;0.0016056758,0.14237665,1.7169706;0.13955185,0.011742956,1.7017876;0.23097128,0.20022897,1.6490833;0.20763758,0.2358616,1.6403376;-0.24792165,-0.2132578,1.5374625;-0.29459944,-0.5418561,1.5314784;-0.33292273,-0.81194735,1.5146133;-0.32696387,-0.84704566,1.4423286;-0.08818959,-0.21867862,1.5640928;-0.06354284,-0.53715384,1.5000187;-0.04222451,-0.81324136,1.4331559;-0.025309842,-0.8325831,1.3567796;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
771;-0.16990212,-0.13909003,1.5784544;-0.17831786,-0.08112111,1.632084;-0.17886478,0.2775665,1.7043793;-0.17557882,0.4719437,1.6966277;-0.35065424,0.1568878,1.6525742;-0.43615806,-0.05330724,1.6660765;-0.5247329,-0.20259379,1.6986821;-0.5505422,-0.24197286,1.7115482;-7.051652E-4,0.14107393,1.7187613;0.14053023,0.011278339,1.7037101;0.2797728,0.15198106,1.6417571;0.2829921,0.22913498,1.6135422;-0.24798897,-0.21321273,1.5397259;-0.29469767,-0.5418503,1.5331091;-0.33322573,-0.8133831,1.5153841;-0.3271823,-0.8487177,1.4427106;-0.08883036,-0.21895152,1.566723;-0.063739486,-0.5371469,1.5017176;-0.042026192,-0.8147701,1.4335688;-0.024924446,-0.8342314,1.3567919;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
803;-0.17035666,-0.13922025,1.5811805;-0.17897658,-0.08140408,1.6353147;-0.17950219,0.27749535,1.7063215;-0.17698573,0.47170866,1.7003049;-0.3513499,0.15684968,1.6547451;-0.4364543,-0.053374287,1.667136;-0.5280947,-0.20137677,1.6994709;-0.5548565,-0.24622564,1.7122264;-0.0030640452,0.1400824,1.7206961;0.14270256,0.011345889,1.7066748;0.31336835,0.11225733,1.6400291;0.36238217,0.21332724,1.5952959;-0.24817443,-0.2130309,1.5424689;-0.2948284,-0.5418346,1.5350046;-0.33366618,-0.8158645,1.5164095;-0.32751414,-0.85158944,1.4430816;-0.08964396,-0.21905604,1.5698195;-0.063948475,-0.5371367,1.503681;-0.041650098,-0.817239,1.4340361;-0.024276882,-0.83692676,1.356587;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
834;-0.17096421,-0.13919549,1.5839608;-0.17978223,-0.081586026,1.6386782;-0.18025179,0.27741116,1.7082362;-0.17881894,0.47151515,1.7037601;-0.35248926,0.15676655,1.6571441;-0.43691942,-0.053431824,1.6683133;-0.52911216,-0.20168294,1.7000331;-0.55610114,-0.25039724,1.7127656;-0.005029558,0.1393784,1.7224271;0.14765283,0.012599046,1.7102671;0.34628785,0.06324947,1.646171;0.4367619,0.1940522,1.5840408;-0.24851158,-0.21276073,1.5451454;-0.29500774,-0.5418067,1.5368915;-0.33420894,-0.8192018,1.5175836;-0.32795313,-0.8554421,1.4433799;-0.09054064,-0.219002,1.5729955;-0.06428986,-0.5371851,1.5056667;-0.041379303,-0.8204167,1.434463;-0.023737587,-0.8403975,1.3561175;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
865;-0.17156194,-0.13913158,1.5864645;-0.18057501,-0.08174666,1.6418086;-0.18114504,0.27730122,1.7099917;-0.1809819,0.47128618,1.7068993;-0.3538985,0.15663421,1.6594914;-0.43746144,-0.05353502,1.6694992;-0.52984214,-0.20216349,1.7004274;-0.55721295,-0.25367233,1.7131348;-0.00663465,0.13892922,1.7238464;0.15790819,0.0159673,1.7130283;0.36378163,0.04279718,1.647087;0.4907676,0.16391532,1.5845156;-0.24888015,-0.21251151,1.5475801;-0.29520532,-0.54176867,1.5386379;-0.33485702,-0.8231707,1.5187832;-0.3285341,-0.8600029,1.443531;-0.09130501,-0.21891172,1.5757396;-0.064607844,-0.5372326,1.5074781;-0.0410782,-0.8241711,1.4348208;-0.023179494,-0.8445124,1.3553945;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
912;-0.17221223,-0.13901201,1.5886672;-0.181408,-0.081847,1.6446252;-0.18216299,0.27722389,1.7115121;-0.18371114,0.47121316,1.7097994;-0.35552156,0.15646715,1.6617265;-0.43784174,-0.05361702,1.6702754;-0.4807463,-0.22082008,1.7016431;-0.4862618,-0.28257024,1.7144725;-0.007918071,0.1386679,1.7249379;0.17010203,0.019821465,1.7133267;0.374698,0.031951346,1.647175;0.4664114,0.10646246,1.6144483;-0.24933636,-0.21232527,1.5497524;-0.2954052,-0.5417384,1.5402105;-0.33548447,-0.827558,1.5199378;-0.3291277,-0.8649898,1.4435232;-0.092039354,-0.21871589,1.5780911;-0.06489479,-0.537273,1.5090592;-0.0407103,-0.8280198,1.4350864;-0.022592254,-0.84873855,1.3544968;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
