Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
593;0.0025356938,-0.14309207,1.5718311;0.01208167,-0.08593582,1.6395575;0.017135551,0.29487804,1.6926244;-0.003546522,0.4915195,1.6988901;-0.1632732,0.15725662,1.6848041;-0.21686514,-0.106290884,1.6720062;-0.2218339,-0.32507747,1.5724765;-0.22071859,-0.4090737,1.5219935;0.17237097,0.15724958,1.6375589;0.2352075,-0.1173692,1.5812752;0.22811598,-0.3328559,1.4738432;0.22060391,-0.41751817,1.4250476;-0.07539496,-0.21540757,1.5550555;-0.1358952,-0.6956223,1.5264474;-0.18187536,-1.0605855,1.4873503;-0.2037401,-1.0974104,1.3898101;0.075644925,-0.21541072,1.5439519;0.16856378,-0.681634,1.4374956;0.23918211,-1.0359638,1.3392339;0.23695841,-1.0612335,1.2357702;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
624;0.002527465,-0.14308996,1.5718269;0.012069583,-0.08593973,1.6395535;0.017144084,0.2948487,1.6926415;-0.0035884194,0.4914627,1.6988723;-0.16327348,0.15715896,1.6847637;-0.21678565,-0.10808078,1.6714945;-0.221835,-0.32709265,1.5716285;-0.22076571,-0.41111106,1.5211794;0.17238519,0.15720087,1.6375738;0.23519662,-0.117400296,1.5812681;0.2275956,-0.33319703,1.4737531;0.22025096,-0.41771019,1.4246733;-0.07540947,-0.21540885,1.5550518;-0.1358746,-0.695633,1.5264516;-0.18182811,-1.0606034,1.4873627;-0.20367783,-1.097433,1.3898199;0.07563645,-0.21540731,1.543944;0.16856997,-0.681632,1.4374864;0.23919943,-1.0359628,1.3392258;0.23698938,-1.0612288,1.23576;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
655;0.0025262297,-0.14308964,1.5718263;0.0120677585,-0.08594032,1.639553;0.017145365,0.2948443,1.6926441;-0.0035947897,0.49145412,1.6988697;-0.16327356,0.15714388,1.6847576;-0.21677285,-0.10836278,1.6714135;-0.2218348,-0.32741597,1.5714924;-0.22077565,-0.4114387,1.5210488;0.17238767,0.15719293,1.6375763;0.23519498,-0.11740497,1.581267;0.22751695,-0.33324987,1.4737397;0.22019829,-0.41774035,1.4246168;-0.07541165,-0.21540904,1.5550512;-0.13587147,-0.6956346,1.5264522;-0.18182094,-1.060606,1.4873648;-0.20366834,-1.0974365,1.3898215;0.07563517,-0.2154068,1.5439428;0.1685709,-0.6816317,1.437485;0.23920207,-1.0359628,1.3392246;0.2369941,-1.061228,1.2357584;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
687;0.0025252393,-0.1430896,1.5718262;0.012066277,-0.08594093,1.6395528;0.01714633,0.29484096,1.692646;-0.0035949827,0.49144682,1.6988754;-0.16327359,0.15713264,1.6847532;-0.21676308,-0.10857381,1.6713531;-0.22183341,-0.32765943,1.5713894;-0.22078356,-0.41168603,1.5209504;0.1723901,0.1571864,1.6375792;0.23519376,-0.117408484,1.5812664;0.22745846,-0.33329037,1.4737301;0.2201593,-0.41776398,1.424575;-0.07541341,-0.21540941,1.5550512;-0.13586912,-0.6956361,1.5264528;-0.18181542,-1.0606086,1.4873662;-0.20366092,-1.0974395,1.3898225;0.07563415,-0.21540685,1.5439423;0.1685718,-0.68163174,1.4374843;0.23920451,-1.0359633,1.3392236;0.23699832,-1.061228,1.2357571;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
718;0.0025244716,-0.14308959,1.5718262;0.01206506,-0.08594147,1.6395528;0.017147228,0.29483762,1.692648;-0.0035950544,0.49143943,1.6988821;-0.16327362,0.15712424,1.6847498;-0.21675552,-0.108739324,1.6713047;-0.22183137,-0.32785392,1.5713071;-0.22079077,-0.41188422,1.5208718;0.17239276,0.15718068,1.6375828;0.23519284,-0.11741113,1.5812658;0.2274133,-0.33332384,1.4737252;0.22012946,-0.41778207,1.4245433;-0.0754148,-0.21540965,1.5550514;-0.1358673,-0.6956373,1.5264531;-0.18181102,-1.0606108,1.4873669;-0.20365483,-1.0974424,1.3898228;0.07563337,-0.21540701,1.5439422;0.16857265,-0.681632,1.4374838;0.23920685,-1.035964,1.3392233;0.23700239,-1.0612286,1.2357563;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
749;0.0025238818,-0.14308885,1.5718269;0.012063971,-0.08594153,1.6395533;0.017147813,0.2948346,1.69265;-0.003593706,0.49143308,1.6988895;-0.16327396,0.15711766,1.6847476;-0.21674863,-0.10889041,1.6712574;-0.2218289,-0.3280379,1.5712293;-0.2207998,-0.412073,1.5207973;0.17239751,0.15717438,1.6375886;0.235192,-0.11741352,1.5812656;0.22737971,-0.3333555,1.4737258;0.2201073,-0.4177998,1.4245207;-0.075415984,-0.21540956,1.5550514;-0.13586573,-0.69563824,1.5264534;-0.18180673,-1.0606133,1.4873672;-0.20364839,-1.0974455,1.3898225;0.075633,-0.21540691,1.5439425;0.16857329,-0.6816322,1.4374835;0.23920847,-1.035965,1.3392229;0.2370054,-1.0612292,1.2357557;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
780;0.0025234306,-0.14308792,1.5718281;0.012062879,-0.08594143,1.6395541;0.017148353,0.29483178,1.6926517;-0.00359147,0.4914276,1.6988976;-0.16327429,0.1571127,1.684746;-0.2167438,-0.109001026,1.6712228;-0.22182645,-0.32817638,1.5711707;-0.22080731,-0.41221613,1.5207411;0.17240457,0.15716693,1.6375989;0.2351914,-0.11741546,1.5812654;0.22735535,-0.3333865,1.4737332;0.22009176,-0.4178182,1.4245076;-0.075417005,-0.21540941,1.5550518;-0.1358644,-0.6956392,1.5264536;-0.18180281,-1.0606163,1.487367;-0.20364173,-1.0974497,1.3898213;0.07563286,-0.2154068,1.5439432;0.1685739,-0.68163306,1.4374839;0.23920988,-1.0359672,1.3392237;0.2370084,-1.0612314,1.2357562;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
827;0.0025231289,-0.14308664,1.5718298;0.0120616825,-0.085941195,1.6395556;0.01714931,0.29482728,1.6926546;-0.0035892231,0.49142244,1.6989069;-0.16327463,0.15710834,1.684745;-0.21674,-0.109088324,1.6711948;-0.22182417,-0.32828894,1.5711234;-0.22081347,-0.41233325,1.5206959;0.17241429,0.15715611,1.6376156;0.23519103,-0.11741716,1.5812658;0.22734345,-0.33341727,1.4737468;0.22008353,-0.4178368,1.4245017;-0.07541788,-0.21540911,1.5550524;-0.13586326,-0.6956402,1.5264536;-0.18179911,-1.0606196,1.4873662;-0.20363452,-1.0974544,1.3898191;0.07563298,-0.21540655,1.5439446;0.1685743,-0.681634,1.4374846;0.23921067,-1.03597,1.3392247;0.23701097,-1.0612338,1.2357568;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
858;0.0025231042,-0.143085,1.5718329;0.012060287,-0.085940875,1.6395582;0.01715224,0.29482144,1.6926609;-0.0035870376,0.49141753,1.698917;-0.16327499,0.15710427,1.6847441;-0.21673656,-0.10916105,1.6711705;-0.22182119,-0.32838604,1.5710839;-0.22081931,-0.41243473,1.5206577;0.17242791,0.1571404,1.6376427;0.23519067,-0.11741872,1.5812671;0.22733831,-0.3334492,1.4737697;0.22008123,-0.4178582,1.4245063;-0.07541868,-0.21540871,1.5550532;-0.13586219,-0.6956413,1.5264536;-0.1817955,-1.0606238,1.487365;-0.20362614,-1.0974604,1.3898159;0.075633526,-0.2154062,1.5439478;0.16857488,-0.68163514,1.4374857;0.23921172,-1.035973,1.3392259;0.23701438,-1.0612367,1.2357572;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
890;0.0025229868,-0.14308323,1.5718374;0.012058255,-0.08594078,1.6395627;0.017157083,0.29481256,1.6926715;-0.0035847286,0.49141276,1.6989284;-0.16327538,0.15710041,1.6847434;-0.21673353,-0.10922887,1.6711491;-0.22181773,-0.32847837,1.5710472;-0.22082625,-0.41253248,1.5206225;0.17244495,0.15711896,1.6376792;0.2351902,-0.11742115,1.58127;0.22733717,-0.3334817,1.4737949;0.22008204,-0.4178817,1.4245158;-0.07542019,-0.21541008,1.5550555;-0.1358609,-0.6956448,1.5264533;-0.18179075,-1.0606327,1.4873619;-0.20361477,-1.0974694,1.3898141;0.07563403,-0.21540326,1.5439557;0.16857566,-0.6816356,1.4374874;0.23921305,-1.0359747,1.3392271;0.23702,-1.0612379,1.2357612;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
