Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
621;-0.19658357,0.028592154,1.7934306;-0.20422281,0.09067529,1.8517343;-0.2146045,0.45757863,1.8580854;-0.21554434,0.66025615,1.843159;-0.38552132,0.32568887,1.821644;-0.42460048,0.06425043,1.7705641;-0.37895823,-0.1503321,1.6796564;-0.3599863,-0.219432,1.6565324;-0.04241546,0.330513,1.8541315;0.0022324454,0.052548937,1.8357853;0.012365387,-0.1719122,1.7621025;0.024372092,-0.19870186,1.7429259;-0.27056628,-0.049052626,1.7690535;-0.3370148,-0.40283933,1.791523;-0.38201585,-0.6704717,1.8075305;-0.3856187,-0.7279355,1.7198881;-0.11616863,-0.046881765,1.7897732;-0.027835313,-0.38603687,1.7401109;0.066465035,-0.62335706,1.720497;0.096781515,-0.65975654,1.6269436;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
637;-0.19198403,0.027580965,1.7925045;-0.19956592,0.089735836,1.8508359;-0.21062168,0.45699894,1.8571991;-0.20986122,0.65904987,1.8426795;-0.38146958,0.3244866,1.8214182;-0.4218494,0.064323775,1.7703998;-0.37355173,-0.14964925,1.6785622;-0.3523012,-0.22137299,1.6529608;-0.037093896,0.32826337,1.8526804;0.008885366,0.048094142,1.8342354;0.020069808,-0.17596634,1.7581804;0.028283719,-0.19685279,1.7427704;-0.26607612,-0.049978092,1.7681767;-0.33434612,-0.40273225,1.7903271;-0.38082135,-0.66933364,1.806512;-0.3852083,-0.7265536,1.7193881;-0.11119947,-0.04820851,1.7887534;-0.01830918,-0.38703525,1.7395988;0.085005954,-0.6220097,1.7220492;0.116897754,-0.6576534,1.6293416;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
684;-0.18011367,0.024293194,1.7897707;-0.18734525,0.0863662,1.8481481;-0.20039827,0.45393705,1.8549094;-0.19710995,0.6546768,1.8410912;-0.37130612,0.32134622,1.8204017;-0.40963894,0.0604908,1.7683849;-0.362337,-0.15302168,1.6753535;-0.33223101,-0.23349696,1.6425768;-0.025788609,0.32284683,1.8487983;0.022548173,0.04311781,1.8311293;0.031290375,-0.18063597,1.7552575;0.041882012,-0.22997405,1.7324305;-0.25396875,-0.052799653,1.7655668;-0.3317594,-0.4030043,1.789244;-0.3802688,-0.66896707,1.805996;-0.38513654,-0.72625625,1.7192415;-0.09906478,-0.051904935,1.7857621;0.0140892705,-0.39433652,1.7367005;0.12418704,-0.624388,1.7249899;0.15731063,-0.6604545,1.6341767;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
715;-0.15362982,0.016521694,1.7841854;-0.16134167,0.07863207,1.8430151;-0.1813869,0.4480573,1.851742;-0.17597711,0.6474691,1.8379648;-0.3433828,0.311628,1.8170722;-0.38464642,0.05381344,1.7652802;-0.33672443,-0.15886357,1.6688273;-0.3066292,-0.2432342,1.6322927;7.928456E-4,0.31219882,1.8409408;0.05677372,0.028751949,1.8239682;0.060118515,-0.19523382,1.7473956;0.067120984,-0.26003963,1.7196732;-0.22594985,-0.060389116,1.7598665;-0.31934494,-0.4064628,1.7848694;-0.37661323,-0.6674379,1.803367;-0.3839193,-0.7248141,1.7178997;-0.07127301,-0.060065504,1.7793356;0.035785284,-0.39711276,1.7350333;0.15559088,-0.62639856,1.7260289;0.18932846,-0.66220844,1.6367211;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
746;-0.12055628,0.008143728,1.7766578;-0.1262671,0.06920848,1.8356752;-0.1429119,0.43574873,1.8463516;-0.14221585,0.6349118,1.8330837;-0.30743262,0.2969246,1.8123107;-0.34662616,0.044298857,1.7612007;-0.2981025,-0.16680005,1.6616869;-0.27379087,-0.25206223,1.622227;0.033171684,0.30022216,1.8326225;0.09384376,0.017679954,1.8163298;0.10612027,-0.20560704,1.7392304;0.108997606,-0.27724913,1.7092866;-0.1939102,-0.068349585,1.7532887;-0.29436657,-0.4147646,1.7782359;-0.367115,-0.6649488,1.7978032;-0.3795747,-0.7218051,1.7145059;-0.03994029,-0.067290194,1.7705773;0.0656221,-0.3979769,1.7320352;0.17797397,-0.62703055,1.7252697;0.23928714,-0.67398936,1.6975853;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
793;-0.08669936,0.0023659067,1.7695084;-0.09177795,0.0625774,1.8288803;-0.10796541,0.42611322,1.8409535;-0.114884384,0.6270677,1.8294939;-0.27124572,0.28608802,1.8087757;-0.29610196,0.028308019,1.7535906;-0.25985953,-0.18419625,1.6518474;-0.2411991,-0.26881826,1.6110268;0.07414105,0.2912484,1.8243376;0.13650927,0.008905746,1.8089043;0.13556568,-0.21374303,1.7331095;0.13680819,-0.2868566,1.7025634;-0.16109213,-0.0744055,1.7476504;-0.25950828,-0.420464,1.7682244;-0.35483572,-0.6618661,1.7916777;-0.374609,-0.7183295,1.7108473;-0.004042539,-0.07259437,1.7606355;0.10564913,-0.39676878,1.7278696;0.2020883,-0.6284609,1.7230663;0.2503255,-0.6725456,1.6644244;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
809;-0.04187313,-0.0011429805,1.7631507;-0.04658769,0.058673758,1.8228339;-0.06295647,0.4207278,1.835827;-0.086464934,0.6224933,1.8259984;-0.22782315,0.2794318,1.8063533;-0.24891677,0.016066644,1.7461967;-0.21875858,-0.1979381,1.6440989;-0.20817658,-0.281438,1.6032008;0.10643531,0.28895468,1.8186243;0.17887443,0.007728881,1.8033521;0.18166469,-0.21560992,1.7258844;0.17326257,-0.28685546,1.6964644;-0.11441319,-0.078425504,1.7430843;-0.21638177,-0.42355868,1.7602093;-0.32926854,-0.654268,1.7819715;-0.35865492,-0.70801234,1.70218;0.0384968,-0.07413388,1.7523474;0.14193124,-0.39906716,1.7245818;0.21710627,-0.629189,1.721314;0.26329094,-0.6742968,1.6544045;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
840;-0.0042045563,-0.0014465712,1.7599413;-0.009116214,0.058388546,1.8196082;-0.027674057,0.41975883,1.8320552;-0.05476488,0.6205789,1.8230112;-0.1910429,0.27699032,1.8043476;-0.20337471,0.011207799,1.7423093;-0.17028493,-0.20013134,1.6397327;-0.16925164,-0.2657518,1.605736;0.15086426,0.29291216,1.8145818;0.21758828,0.012968054,1.7988968;0.21836661,-0.20902579,1.7201602;0.2216067,-0.27443543,1.6909122;-0.07714228,-0.07969423,1.7414703;-0.18357094,-0.4226298,1.7538145;-0.29493037,-0.64454085,1.7683005;-0.32688993,-0.6930293,1.6872957;0.07772957,-0.07275437,1.7477843;0.1648258,-0.39843524,1.7242314;0.22950494,-0.6294878,1.7196779;0.26816756,-0.67359626,1.642924;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
887;0.03737483,0.004752637,1.7599345;0.031315114,0.064579055,1.8192444;0.009607469,0.4247122,1.8297493;-0.020149074,0.6248646,1.8201045;-0.14953429,0.28028783,1.8022869;-0.16684985,0.014915313,1.742171;-0.13152224,-0.19621995,1.6356965;-0.121641435,-0.26144576,1.601854;0.18257636,0.29970875,1.8133031;0.2623268,0.035537697,1.79691;0.25713003,-0.18561749,1.7197102;0.2578135,-0.2481366,1.6924802;-0.03232932,-0.07394888,1.7440488;-0.14647973,-0.41442847,1.7453661;-0.24861151,-0.6294152,1.7488078;-0.27792725,-0.6734269,1.6651835;0.11651301,-0.065201506,1.7464318;0.18563347,-0.39828545,1.7258337;0.24481338,-0.6293088,1.7181779;0.274854,-0.67261356,1.6359802;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
918;0.065779075,0.010840045,1.7607813;0.059471887,0.07121852,1.8196555;0.042413324,0.43303812,1.8273277;0.013513969,0.6330967,1.817956;-0.115142435,0.29019746,1.801323;-0.13011737,0.027482256,1.7436973;-0.090507165,-0.1792453,1.6366199;-0.071001485,-0.24943939,1.5997262;0.22455192,0.31448334,1.8180958;0.28694847,0.047887538,1.7962849;0.28566006,-0.17097986,1.7195688;0.29472205,-0.22916,1.6929737;-0.0060016513,-0.069145516,1.7454771;-0.11932219,-0.4088288,1.7387803;-0.21323729,-0.6215908,1.7348038;-0.23601164,-0.66315824,1.6477355;0.14629991,-0.057906218,1.7478514;0.20333254,-0.39792317,1.7290722;0.25868264,-0.6304168,1.7187825;0.28100178,-0.6727129,1.6323464;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
