Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
609;-0.08632989,0.022086471,1.8965013;-0.093689494,0.08305266,1.9527057;-0.10896083,0.43945938,1.9539077;-0.114658706,0.6319802,1.9321226;-0.27747533,0.3083052,1.9359024;-0.3337254,0.081109904,1.9535878;-0.29900646,-0.11865055,1.9947746;-0.34081793,-0.11153039,2.0821297;0.06889049,0.3145208,1.9621384;0.12900478,0.07784045,2.0121639;0.15670593,-0.032306373,2.17525;0.16593964,-0.069021985,2.2341366;-0.16005856,-0.056838073,1.8720748;-0.1484462,-0.50100034,1.8922248;-0.06159135,-0.7582172,2.049811;-0.0173559,-0.8531414,2.0366309;-0.0041939467,-0.05404105,1.8945589;0.051747315,-0.47630763,1.8199148;0.0829129,-0.7674664,1.7967741;0.096251994,-0.8101214,1.7011514;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
636;-0.0863221,0.02208688,1.896512;-0.093680546,0.08305411,1.9527173;-0.108911105,0.43948823,1.9539332;-0.11471197,0.6326224,1.9323407;-0.27748048,0.30830014,1.9358869;-0.3335393,0.08093497,1.9535303;-0.3589587,-0.030222097,2.0816293;-0.3802996,-0.037341554,2.1243336;0.06890117,0.31452498,1.962147;0.1290142,0.07778153,2.0122547;0.15624472,-0.03435085,2.1741996;0.14648432,-0.08816137,2.2035437;-0.16005471,-0.056841183,1.872094;-0.14847374,-0.5008522,1.8935411;-0.061153725,-0.75808775,2.0503232;-0.017961076,-0.8502214,2.0367808;-0.004182121,-0.05404067,1.8945582;0.05179307,-0.4762766,1.8198359;0.082840435,-0.7670932,1.7967855;0.09580667,-0.808604,1.7037978;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
667;-0.08632093,0.02208695,1.8965137;-0.093679205,0.08305435,1.952719;-0.10890328,0.43949297,1.9539369;-0.11472016,0.63273656,1.9323819;-0.27748126,0.30829936,1.9358845;-0.3335099,0.080907956,1.9535202;-0.3967485,0.025562247,2.136243;-0.40125492,0.0029728059,2.1472805;0.06890277,0.3145256,1.9621483;0.12901561,0.07777268,2.0122683;0.15617308,-0.034667943,2.1740367;0.14074878,-0.09337832,2.1945071;-0.16005418,-0.056841627,1.872097;-0.14848135,-0.5008267,1.8937591;-0.06107074,-0.758046,2.0504346;-0.01807844,-0.8495003,2.0369399;-0.0041803704,-0.054040585,1.894558;0.05180894,-0.4762645,1.8197981;0.082830206,-0.7670364,1.7967856;0.095733166,-0.80834484,1.7042605;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
698;-0.08632008,0.022086678,1.8965149;-0.09367818,0.08305443,1.9527204;-0.108897015,0.439497,1.9539403;-0.11472627,0.63284683,1.9324359;-0.27748185,0.3082988,1.9358827;-0.33348563,0.08088577,1.9535094;-0.40873328,0.03481906,2.1673393;-0.4139207,-0.007665109,2.215647;0.06890389,0.31452578,1.9621491;0.12901665,0.07776603,2.0122788;0.15576063,-0.035441913,2.173616;0.13625148,-0.09813612,2.1880052;-0.16005386,-0.05684214,1.8720996;-0.14849079,-0.5008097,1.8939259;-0.06100218,-0.7580014,2.0505493;-0.018165303,-0.84889954,2.0371592;-0.0041792123,-0.054040965,1.8945576;0.05185255,-0.47625518,1.8196794;0.08282321,-0.76699,1.7967839;0.095676675,-0.80814314,1.7046204;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
729;-0.086319454,0.022086298,1.896516;-0.0936774,0.08305444,1.9527216;-0.10889198,0.4395004,1.9539429;-0.11473445,0.63295346,1.9324965;-0.2774823,0.30829832,1.9358815;-0.33346838,0.08086483,1.9535031;-0.41372392,0.035796717,2.185085;-0.41831958,-0.013454467,2.24308;0.0689047,0.31452578,1.9621499;0.12901738,0.07776087,2.012287;0.1548982,-0.036903907,2.1727858;0.13241524,-0.10258963,2.182283;-0.16005373,-0.056842744,1.8721019;-0.1484988,-0.5007988,1.8940514;-0.060950886,-0.75796586,2.0506437;-0.018241147,-0.8484259,2.0373585;-0.0041784355,-0.054041468,1.8945574;0.051947232,-0.4762645,1.819424;0.0828229,-0.76694745,1.7967685;0.095638044,-0.807991,1.7048781;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
761;-0.08631902,0.022085112,1.8965173;-0.09367675,0.08305409,1.9527227;-0.10888734,0.43950373,1.9539456;-0.11473398,0.6330746,1.9325877;-0.2774826,0.30829787,1.9358807;-0.33344853,0.08083893,1.9534899;-0.41270635,0.028258212,2.1935155;-0.4199394,-0.018739706,2.258128;0.0689054,0.31452575,1.9621503;0.12901779,0.077756,2.0122948;0.15462402,-0.0375315,2.1724656;0.13083953,-0.104923196,2.178975;-0.16005404,-0.056844663,1.8721052;-0.14850886,-0.50079274,1.8941482;-0.06091247,-0.7579378,2.0507216;-0.018307015,-0.848041,2.0375326;-0.0041780323,-0.054042604,1.8945571;0.052097395,-0.4762673,1.8189405;0.082842015,-0.7668917,1.7967048;0.09561669,-0.80786705,1.7050604;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
808;-0.086318634,0.022082644,1.8965191;-0.09367617,0.08305334,1.952724;-0.10888216,0.43950903,1.9539489;-0.11473039,0.6331953,1.932687;-0.27748272,0.3082973,1.9358804;-0.33342835,0.08081627,1.9534755;-0.40807196,0.016861744,2.1942997;-0.41940925,-0.025055114,2.2659519;0.0689064,0.3145252,1.9621513;0.12901795,0.07775177,2.0123024;0.17125924,-0.005060389,2.1832564;0.1772178,-0.033499505,2.2256823;-0.16005465,-0.05684854,1.8721102;-0.14852808,-0.5007937,1.8943908;-0.06086163,-0.7579305,2.0508766;-0.018350108,-0.847742,2.0376863;-0.004177834,-0.054044973,1.894557;0.05229453,-0.47621623,1.8181753;0.08291135,-0.76679575,1.7964994;0.0956329,-0.8077274,1.705143;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
839;-0.08631824,0.022081794,1.8965201;-0.09367563,0.08305332,1.9527249;-0.108875975,0.4395166,1.9539516;-0.11471547,0.63333094,1.9328077;-0.27748278,0.30829683,1.9358801;-0.333413,0.08080126,1.9534652;-0.40853262,0.017015304,2.1935673;-0.39507315,-0.037616663,2.2125416;0.06890731,0.31452468,1.9621521;0.12901814,0.07774729,2.012314;0.18354605,0.013516203,2.1898644;0.20110995,-0.003741839,2.2482715;-0.16005492,-0.056850187,1.8721141;-0.14853072,-0.5007974,1.894739;-0.060807575,-0.7579404,2.0510535;-0.018382588,-0.84751546,2.0378008;-0.0041775694,-0.054045685,1.8945568;0.05269394,-0.4760044,1.8167388;0.0832515,-0.76656026,1.7955256;0.0958969,-0.80738056,1.7045978;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
870;-0.08631787,0.022081016,1.896521;-0.09367517,0.08305334,1.952726;-0.10886733,0.43952617,1.9539555;-0.11468995,0.6334694,1.9329517;-0.2774824,0.30829656,1.9358802;-0.3333872,0.0807859,1.9534473;-0.39269835,-0.0014462424,2.177439;-0.3658343,-0.058076017,2.1801007;0.06891209,0.31452486,1.9621562;0.1290176,0.07774305,2.0123293;0.18855827,0.020611763,2.1924033;0.21129614,0.008456834,2.257616;-0.16005537,-0.056851838,1.8721181;-0.14838162,-0.500801,1.8958234;-0.060683966,-0.75804675,2.0515387;-0.018399367,-0.84734917,2.0379531;-0.004177393,-0.0540463,1.8945566;0.053461578,-0.47547147,1.81431;0.083955966,-0.76613516,1.7939236;0.09652975,-0.80683625,1.7034876;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
901;-0.08631725,0.02208014,1.8965222;-0.093674496,0.08305344,1.9527276;-0.10885541,0.43953815,1.9539605;-0.114644565,0.6336467,1.933158;-0.2774793,0.3082978,1.935881;-0.33335185,0.08077249,1.9534241;-0.38553894,-0.00962623,2.1699712;-0.3528562,-0.067200035,2.165804;0.06891875,0.3145254,1.9621625;0.12901786,0.077729605,2.012386;0.19184172,0.02382414,2.1937392;0.21781734,0.014712231,2.2632346;-0.16005538,-0.056853756,1.8721229;-0.14809032,-0.5008024,1.8974546;-0.06052416,-0.7583554,2.0518045;-0.01839374,-0.84733886,2.0376208;-0.004177215,-0.054046698,1.8945568;0.054622732,-0.47450557,1.8107711;0.08513067,-0.7654184,1.79157;0.09766998,-0.8059985,1.70166;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
